Month,Agency,Police Force,Felony Type,Felony Count,Crimes per Million Riders
2024-07-01,NYCT,NYPD,Grand Larceny Auto,0,0.0
2024-08-01,NYCT,NYPD,Burglary,0,0.0
2024-08-01,NYCT,NYPD,Felony Assault,48,0.38
2024-08-01,NYCT,NYPD,Murder,1,0.01
2024-08-01,NYCT,NYPD,Rape,0,0.0
2024-08-01,NYCT,NYPD,Robbery,54,0.43
2024-08-01,NYCT,NYPD,Grand Larceny,79,0.63
2024-08-01,NYCT,NYPD,Grand Larceny Auto,0,0.0
2024-09-01,NYCT,NYPD,Burglary,0,0.0
2024-09-01,NYCT,NYPD,Felony Assault,50,0.36
2024-09-01,NYCT,NYPD,Murder,1,0.01
2024-09-01,NYCT,NYPD,Rape,1,0.01
2024-09-01,NYCT,NYPD,Robbery,24,0.17
2024-09-01,NYCT,NYPD,Grand Larceny,91,0.65
2024-09-01,NYCT,NYPD,Grand Larceny Auto,0,0.0
2024-10-01,NYCT,NYPD,Burglary,2,0.01
2024-10-01,NYCT,NYPD,Felony Assault,45,0.29
2024-10-01,NYCT,NYPD,Murder,1,0.01
2024-10-01,NYCT,NYPD,Rape,2,0.01
2024-10-01,NYCT,NYPD,Robbery,48,0.31
2024-10-01,NYCT,NYPD,Grand Larceny,70,0.46
2024-10-01,NYCT,NYPD,Grand Larceny Auto,0,0.0
2024-11-01,NYCT,NYPD,Burglary,1,0.01
2024-11-01,NYCT,NYPD,Felony Assault,50,0.36
2024-11-01,NYCT,NYPD,Murder,0,0.0
2024-11-01,NYCT,NYPD,Rape,0,0.0
2024-11-01,NYCT,NYPD,Robbery,38,0.28
2024-11-01,NYCT,NYPD,Grand Larceny,113,0.82
2024-11-01,NYCT,NYPD,Grand Larceny Auto,0,0.0
2024-12-01,NYCT,NYPD,Burglary,1,0.01
2024-12-01,NYCT,NYPD,Felony Assault,55,0.4
2024-12-01,NYCT,NYPD,Murder,1,0.01
2024-12-01,NYCT,NYPD,Rape,1,0.01
2024-12-01,NYCT,NYPD,Robbery,41,0.3
2024-12-01,NYCT,NYPD,Grand Larceny,86,0.62
2024-12-01,NYCT,NYPD,Grand Larceny Auto,0,0.0
2025-01-01,NYCT,NYPD,Burglary,1,0.01
2025-01-01,NYCT,NYPD,Felony Assault,45,0.34
2025-01-01,NYCT,NYPD,Murder,0,0.0
