date,NASDAQCOM,UMCSENT,NASDAQCOM_yoy_change,UMCSENT_yoy_change,yoy_change_diff
2014-04-01,4268.04,84.1,31.763383829808255,10.07853403141359,21.684849798394666
2014-05-01,4127.45,81.9,25.10722523816884,-3.076923076923066,28.184148315091907
2014-06-01,4237.2,82.5,22.272657753717496,-1.9024970273483932,24.17515478106589
2014-07-01,4458.65,81.8,29.819856805522793,-3.8777908343125667,33.69764763983536
2014-08-01,4352.64,82.5,18.415339496264703,0.4872107186358221,17.92812877762888
2014-09-01,4598.19,84.6,27.281660627634864,9.16129032258064,18.120370305054223
2014-10-01,4422.09,86.9,15.822764917574217,18.715846994535525,-2.893082076961308
2014-11-01,4638.91,88.8,18.277987985844103,18.242343541944074,0.03564444390002919
2014-12-01,4727.35,93.6,16.861462551232798,13.454545454545453,3.4069170966873443
2015-01-01,4726.81,98.1,14.089551950606683,20.8128078817734,-6.723255931166715
2015-02-01,4676.69,95.4,17.006174692766486,16.91176470588236,0.09440998688412705
2015-03-01,5008.1,93.0,17.085544619269164,16.250000000000007,0.8355446192691574
2015-04-01,4880.23,95.9,14.343586283165099,14.030915576694426,0.31267070647067285
2015-05-01,5005.39,90.7,21.270760396855202,10.744810744810751,10.525949652044451
2015-06-01,5082.93,96.1,19.959643160577745,16.48484848484848,3.474794675729264
2015-07-01,5013.12,93.1,12.435826987989639,13.814180929095343,-1.3783539411057042
2015-08-01,5115.38,91.9,17.523617850316132,11.393939393939402,6.12967845637673
2015-09-01,4636.1,87.2,0.8244548398391727,3.073286052009472,-2.248831212170299
2015-10-01,4627.08,90.0,4.63559086314389,3.5673187571921616,1.0682721059517286
2015-11-01,5127.15,91.3,10.524886234050657,2.8153153153153143,7.709570918735342
2015-12-01,5156.31,92.6,9.074005521063588,-1.0683760683760646,10.142381589439653
2016-01-01,4903.09,92.0,3.7293650474632845,-6.218144750254839,9.947509797718123
2016-02-01,4620.37,91.7,-1.2042705417720567,-3.8784067085953944,2.6741361668233377
2016-03-01,4689.6,91.0,-6.359697290389565,-2.1505376344086002,-4.209159655980965
2016-04-01,4914.54,89.0,0.7030406353798924,-7.1949947862356645,7.898035421615557
2016-05-01,4817.59,94.7,-3.751955392087336,4.4101433296582115,-8.162098721745547
2016-06-01,4952.25,93.5,-2.5709580891336348,-2.7055150884495283,0.1345569993158935
2016-07-01,4862.57,90.0,-3.0031198136090897,-3.329752953813103,0.32663314020401346
2016-08-01,5184.2,89.8,1.3453545973124204,-2.2850924918389692,3.6304470891513896
2016-09-01,5227.21,91.2,12.750156381441279,4.587155963302747,8.163000418138532
2016-10-01,5300.87,87.2,14.561883520492414,-3.111111111111109,17.672994631603522
2016-11-01,5153.58,93.8,0.5154910622860776,2.7382256297918905,-2.222734567505813
2016-12-01,5251.11,98.2,1.8385240608109088,6.047516198704117,-4.208992137893208
2017-01-01,5429.08,98.5,10.727724761323977,7.065217391304346,3.6625073700196307
2017-02-01,5642.65,96.3,22.12550077158322,5.016357688113415,17.109143083469803
2017-03-01,5904.03,96.9,25.89623848515863,6.483516483516483,19.41272200164215
2017-04-01,5894.68,97.0,19.94367733297522,8.98876404494382,10.954913288031399
2017-05-01,6091.6,97.1,26.444965221199812,2.5343189017951406,23.91064631940467
2017-06-01,6246.83,95.0,26.14124892725529,1.6042780748663166,24.536970852388976
2017-07-01,6110.06,93.4,25.65495201097363,3.777777777777791,21.877174233195838
2017-08-01,6362.94,96.8,22.737162918097287,7.795100222717144,14.942062695380143
2017-09-01,6435.33,95.1,23.112138215223798,4.2763157894736725,18.835822425750123
2017-10-01,6516.72,100.7,22.936800940223034,15.481651376146788,7.455149564076246
2017-11-01,6716.53,98.5,30.327461686827405,5.010660980810244,25.316800706017162
2017-12-01,6847.59,95.9,30.40271485457362,-2.3421588594704668,32.74487371404409
2018-01-01,7006.9,95.7,29.06238257679017,-2.8426395939086246,31.905022170698796
2018-02-01,7385.86,99.7,30.893463177762225,3.530633437175501,27.362829740586726
2018-03-01,7180.56,101.4,21.621333224932805,4.643962848297223,16.977370376635584
