name,date,affordability_index,lat,lng,one_year_change,one_year_date,population
"Kankakee, IL",2026-08-01,0.2044448630889638,41.102,-87.8643,0.004259752929921312,2025-08-01,106410.0
"Kansas City, MO",2026-08-01,0.2060382182718532,39.1238,-94.5541,0.0012646827138312888,2025-08-01,2253579.0
"Kennewick, WA",2026-08-01,0.2143093697366553,46.1978,-119.1732,-0.0049471988191306104,2025-08-01,319428.0
"Killeen, TX",2026-08-01,0.2212197809386274,31.0753,-97.7297,-0.008376099338948895,2025-08-01,509487.0
"Kingsport, TN",2026-08-01,0.2345865678732999,36.5224,-82.5454,0.004449908569116701,2025-08-01,313876.0
"Kingston, NY",2026-08-01,0.2549274004510918,41.9295,-73.9968,0.0041463637090317085,2025-08-01,182977.0
"Knoxville, TN",2026-08-01,0.2641916148318098,35.9692,-83.9496,-0.005713568298425398,2025-08-01,957608.0
"Kokomo, IN",2026-08-01,0.172209959591216,40.464,-86.1277,0.002091450426399577,2025-08-01,84082.0
"La Crosse, WI",2026-08-01,0.171301070326337,43.8241,-91.2268,-0.0003353015379636004,2025-08-01,170763.0
"Lafayette, IN",2026-08-01,0.2334105645374166,40.3991,-86.8593,-0.0028422914821562006,2025-08-01,229701.0
"Lafayette, LA",2026-08-01,0.2534077067100456,30.2082,-92.0325,-0.007044674615896418,2025-08-01,419704.0
"Lake Charles, LA",2026-08-01,0.2279487963618927,30.201,-93.2111,0.0295269532073468,2025-08-01,242975.0
"Lake Havasu City, AZ",2026-08-01,0.2829831099501836,34.5006,-114.3113,-0.0060999618476805795,2025-08-01,226479.0
"Lakeland, FL",2026-08-01,0.3138153327806297,28.0557,-81.9545,-0.006177286032612306,2025-08-01,852878.0
"Lancaster, PA",2026-08-01,0.2036122494058148,40.042,-76.3012,0.0017786947664119035,2025-08-01,563293.0
"Lansing, MI",2026-08-01,0.2001374496468052,42.7142,-84.5601,0.0020662126646130985,2025-08-01,479971.0
"Laredo, TX",2026-08-01,0.2436242481944436,27.5625,-99.4874,-0.004540840791498413,2025-08-01,272823.0
"Las Cruces, NM",2026-08-01,0.262397186212412,32.3265,-106.7893,-0.0041463278530436964,2025-08-01,229366.0
"Las Vegas, NV",2026-08-01,0.2441115362995494,36.2333,-115.2654,-0.006709833468538873,2025-08-01,2398871.0
"Lawrence, KS",2026-08-01,0.2094562203062632,38.9597,-95.2642,0.00748133148715982,2025-08-01,121989.0
"Lawton, OK",2026-08-01,0.2017961270357496,34.6175,-98.4202,0.004267613819195881,2025-08-01,126899.0
"Lebanon, PA",2026-08-01,0.222933651683491,40.3412,-76.4228,-0.004568709879903404,2025-08-01,145319.0
"Lewiston, ID",2026-08-01,0.1831343678552151,46.3934,-116.9933,,2025-08-01,65370.0
"Lewiston, ME",2026-08-01,0.2537361975393702,44.0915,-70.1681,-0.001587564829071908,2025-08-01,115272.0
"Lexington, KY",2026-08-01,0.2423170166855782,38.0423,-84.4587,0.000472548063580297,2025-08-01,533366.0
"Lima, OH",2026-08-01,0.1973709648430763,40.741,-84.112,0.006685497059521123,2025-08-01,100866.0
"Lincoln, NE",2026-08-01,0.1972425149512496,40.8099,-96.6784,-0.001237084662150112,2025-08-01,350626.0
"Little Rock, AR",2026-08-01,0.2049957038706074,34.7256,-92.3577,-0.0007974345360642066,2025-08-01,769258.0
"Logan, UT",2026-08-01,0.2038253205474208,41.7399,-111.8422,-0.00022295086241949646,2025-08-01,161125.0
"Longview, TX",2026-08-01,0.2082942425460016,32.5193,-94.7622,-0.003491715740430612,2025-08-01,295490.0
"Longview, WA",2026-08-01,0.1971216240870828,46.1461,-122.963,-0.00474979801527789,2025-08-01,113982.0
"Los Angeles, CA",2026-08-01,0.3411117823674414,34.1141,-118.4068,-0.005637537224404188,2025-08-01,12927614.0
"Louisville, KY",2026-08-01,0.2052697208271359,38.1663,-85.6485,-0.002613818233604598,2025-08-01,
"Lubbock, TX",2026-08-01,0.2381851481869429,33.5657,-101.8879,-0.003297216617411003,2025-08-01,367109.0
"Lynchburg, VA",2026-08-01,0.2299816360213633,37.4003,-79.1909,0.002608814884496602,2025-08-01,266432.0
"Macon, GA",2026-08-01,0.2505607650765396,32.8065,-83.6974,0.0007587487576920238,2025-08-01,237617.0
"Madera, CA",2026-08-01,0.3545120850454181,36.963,-120.0778,0.002518352374437205,2025-08-01,
"Madison, WI",2026-08-01,0.2056110716986239,43.0822,-89.393,-0.0007779080995532206,2025-08-01,707606.0
"Manchester, NH",2026-08-01,0.2310670662195786,42.9848,-71.4447,-0.00013462901537730776,2025-08-01,430462.0
"Manhattan, KS",2026-08-01,0.204971433154836,39.1886,-96.6048,0.002432336451387823,2025-08-01,134892.0
"Mankato, MN",2026-08-01,0.1816665167674518,44.1715,-93.9772,-0.0005786467878546031,2025-08-01,105193.0
"Mansfield, OH",2026-08-01,0.1535126224307151,40.7656,-82.5275,0.00315379039304009,2025-08-01,124853.0
"McAllen, TX",2026-08-01,0.2190513649977946,26.2252,-98.2467,-0.006000685662085892,2025-08-01,914820.0
"Medford, OR",2026-08-01,0.2738569852433498,42.3372,-122.854,0.0016368242201844074,2025-08-01,221331.0
"Memphis, TN",2026-08-01,0.235342775811096,35.1087,-89.9663,-0.004366498855621598,2025-08-01,1339345.0
